ActionType,Data
Wait,1.603116
MouseAction,"(5970, 1979) | (left, down)"
Wait,0.097377
MouseAction,"(5970, 1979) | (left, up)"
Wait,0.932517
MouseAction,"(6058, 2364) | (left, down)"
Wait,0.073622
MouseAction,"(6058, 2364) | (left, up)"
Wait,1.216359
MouseAction,"(7043, 2059) | (left, down)"
Wait,0.072706
MouseAction,"(7043, 2059) | (left, up)"
Wait,1.517924
MouseAction,"(5971, 1984) | (left, down)"
Wait,0.085029
MouseAction,"(5971, 1984) | (left, up)"
Wait,0.666153
MouseAction,"(6024, 2344) | (left, down)"
Wait,0.060795
MouseAction,"(6024, 2344) | (left, up)"
Wait,0.966147
MouseAction,"(7038, 2041) | (left, down)"
Wait,0.067784
MouseAction,"(7038, 2040) | (left, up)"
